"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season.1","site.1","coral_tag.1","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Dist"
"KI15bWSYM023","KI2015b.water23.site8","KI15bWSYM023",NA,"water","KI2015b","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM005","KI2015a_Post.water5.site8","KI15aWSYM005",NA,"water","KI2015a_Post","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM010","KI2015a_Post.water10.site35","KI15aWSYM010",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM011","KI2015a_Post.water11.site35","KI15aWSYM011",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM012","KI2015a_Post.water12.site35","KI15aWSYM012",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM005","KI2015b.sediment5.site35","KI15bSSYM005",NA,"sediment","KI2015b","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM018","KI2015b.water18.site27","KI15bWSYM018",NA,"water","KI2015b","water","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM009","KI2015b.sediment9.site30","KI15bSSYM009",NA,"sediment","KI2015b","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM022","KI2015a_Post.sediment22.site27","KI15aSSYM022",NA,"sediment","KI2015a_Post","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM021","KI2015b.sediment21.site8","KI15bSSYM021",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM024","KI2015b.sediment24.site8","KI15bSSYM024",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM004","KI2014.water4.site8","KI14WSYM004",NA,"water","KI2014","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aSSYM026","KI2015a_Post.sediment26.site8","KI15aSSYM026",NA,"sediment","KI2015a_Post","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM007","KI2015a_Post.water7.site8","KI15aWSYM007",NA,"water","KI2015a_Post","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM001","KI2015b.water1.site35","KI15bWSYM001",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM002","KI2015b.water2.site35","KI15bWSYM002",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM003","KI2015b.water3.site35","KI15bWSYM003",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bWSYM007","KI2015b.water7.site30","KI15bWSYM007",NA,"water","KI2015b","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM019","KI2015b.water19.site27","KI15bWSYM019",NA,"water","KI2015b","water","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM024","KI2015b.water24.site8","KI15bWSYM024",NA,"water","KI2015b","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM001","KI2014.water1.site35","KI14WSYM001",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM003","KI2014.water3.site8","KI14WSYM003",NA,"water","KI2014","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM016","KI2014.water16.site30","KI14WSYM016",NA,"water","KI2014","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aWSYM013","KI2015a_Post.water13.site27","KI15aWSYM013",NA,"water","KI2015a_Post","water","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM004","KI2015b.water4.site35","KI15bWSYM004",NA,"water","KI2015b","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM015","KI2014.water15.site30","KI14WSYM015",NA,"water","KI2014","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14WSYM032","KI2014.water32.site30","KI14WSYM032",NA,"water","KI2014","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM050","KI2014.sediment50.site35","KI14SSYM050",NA,"sediment","KI2014","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM023","KI2015b.sediment23.site8","KI15bSSYM023",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM009","KI2015a_Post.water9.site35","KI15aWSYM009",NA,"water","KI2015a_Post","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM017","KI2015a_Post.water17.site30","KI15aWSYM017",NA,"water","KI2015a_Post","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM027","KI2015a_Post.sediment27.site8","KI15aSSYM027",NA,"sediment","KI2015a_Post","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM010","KI2014.sediment10.site35","KI14SSYM010",NA,"sediment","KI2014","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM005","KI2014.water5.site35","KI14WSYM005",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM028","KI2014.water28.site35","KI14WSYM028",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM029","KI2014.water29.site35","KI14WSYM029",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM031","KI2014.water31.site8","KI14WSYM031",NA,"water","KI2014","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aWSYM020","KI2015a_Post.water20.site30","KI15aWSYM020",NA,"water","KI2015a_Post","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM006","KI2015b.water6.site30","KI15bWSYM006",NA,"water","KI2015b","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM008","KI2015a_Post.sediment8.site35","KI15aSSYM008",NA,"sediment","KI2015a_Post","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM014","KI2015b.sediment14.site27","KI15bSSYM014",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14WSYM030","KI2014.water30.site35","KI14WSYM030",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM015","KI2014.sediment15.site30","KI14SSYM015",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM013","KI2015b.sediment13.site27","KI15bSSYM013",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM063","KI2014.sediment63.site27","KI14SSYM063",NA,"sediment","KI2014","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM020","KI2014.sediment20.site30","KI14SSYM020",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM009","KI2015a_Post.sediment9.site35","KI15aSSYM009",NA,"sediment","KI2015a_Post","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aSSYM013","KI2015a_Post.sediment13.site30","KI15aSSYM013",NA,"sediment","KI2015a_Post","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM014","KI2015a_Post.sediment14.site30","KI15aSSYM014",NA,"sediment","KI2015a_Post","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM015","KI2015a_Post.sediment15.site30","KI15aSSYM015",NA,"sediment","KI2015a_Post","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM019","KI2015a_Post.sediment19.site27","KI15aSSYM019",NA,"sediment","KI2015a_Post","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM020","KI2015a_Post.sediment20.site27","KI15aSSYM020",NA,"sediment","KI2015a_Post","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM024","KI2015a_Post.sediment24.site27","KI15aSSYM024",NA,"sediment","KI2015a_Post","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM004","KI2015b.sediment4.site35","KI15bSSYM004",NA,"sediment","KI2015b","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM019","KI2015b.sediment19.site8","KI15bSSYM019",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM022","KI2015b.sediment22.site8","KI15bSSYM022",NA,"sediment","KI2015b","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM087","KI2015a_Post.tag8","KI15aFSYM087","8","coral","KI2015a_Post","Porites_lobata","35","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bFSYM035","KI2015b.tag119","KI15bFSYM035","119","coral","KI2015b","Porites_lobata","35","gone","KI2015b",35,"119","","HD","5/8/2016","18.427","13.449","142.992","n","n","n","y","y","y","Halimeda","y","y","y","y","1","one small patch","","KI2015b","HighMed"
"KI14FSYM131","KI2014.tag131","KI14FSYM131","131","coral","KI2014","Porites_lobata","30","UK","KI2014",30,"131","","DL","18-02-2016","29.438","30.05","590.799","n","y","n","y","y","n","NONE","y","n","y","y","1","yes, bleaching","","KI2014","VeryHigh"
"KI14FSYM087","KI2014.tag87","KI14FSYM087","87","coral","KI2014","Porites_lobata","35","UK","KI2014",35,"87","","DL","17-02-2016","61.25","32.942","1427.264","n","y","n","y","y","y","Halimeda, Peysson_red","y","y","y","n","NONE","","","KI2014","HighMed"
"KI15aFSYM137","KI2015a_Post.tag144","KI15aFSYM137","144","coral","KI2015a_Post","Porites_lobata","30","gone","KI2015a",30,"144","_Post","JL","23-03-2016","31.01","26.136","563.641","n","n","n","y","y","n","NONE","y","y","n","y","1","one patch of bleaching along edge ","","KI2015a_Post","VeryHigh"
"KI14SSYM017","KI2014.sediment17.site30","KI14SSYM017",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM059","KI2014.sediment59.site27","KI14SSYM059",NA,"sediment","KI2014","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM012","KI2015b.sediment12.site30","KI15bSSYM012",NA,"sediment","KI2015b","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM002","KI2015b.sediment2.site35","KI15bSSYM002",NA,"sediment","KI2015b","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM006","KI2014.sediment6.site8","KI14SSYM006",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM006","KI2014.water6.site35","KI14WSYM006",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM007","KI2014.water7.site35","KI14WSYM007",NA,"water","KI2014","water","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM021","KI2014.water21.site8","KI14WSYM021",NA,"water","KI2014","water","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14WSYM008","KI2014.water8.site30","KI14WSYM008",NA,"water","KI2014","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM007","KI2015b.sediment7.site30","KI15bSSYM007",NA,"sediment","KI2015b","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM018","KI2014.sediment18.site30","KI14SSYM018",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14WSYM017","KI2014.water17.site30","KI14WSYM017",NA,"water","KI2014","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM008","KI2015b.water8.site30","KI15bWSYM008",NA,"water","KI2015b","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aWSYM018","KI2015a_Post.water18.site30","KI15aWSYM018",NA,"water","KI2015a_Post","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM055","KI2015b.tag152","KI15bFSYM055","152","coral","KI2015b","Pocillopora_eydouxi","30","alive","KI2015b",30,"152","","HD","15-09-2016","30.14","27.277","491.167","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15aWSYM019","KI2015a_Post.water19.site30","KI15aWSYM019",NA,"water","KI2015a_Post","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bWSYM005","KI2015b.water5.site30","KI15bWSYM005",NA,"water","KI2015b","water","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM004","KI2014.sediment4.site8","KI14SSYM004",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM019","KI2014.sediment19.site30","KI14SSYM019",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM060","KI2014.sediment60.site27","KI14SSYM060",NA,"sediment","KI2014","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM003","KI2014.sediment3.site8","KI14SSYM003",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM007","KI2014.sediment7.site8","KI14SSYM007",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM008","KI2014.sediment8.site8","KI14SSYM008",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM012","KI2014.sediment12.site35","KI14SSYM012",NA,"sediment","KI2014","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI14SSYM016","KI2014.sediment16.site30","KI14SSYM016",NA,"sediment","KI2014","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM016","KI2015b.sediment16.site27","KI15bSSYM016",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM058","KI2014.sediment58.site27","KI14SSYM058",NA,"sediment","KI2014","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bSSYM018","KI2015b.sediment18.site27","KI15bSSYM018",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM061","KI2014.sediment61.site27","KI14SSYM061",NA,"sediment","KI2014","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI14SSYM005","KI2014.sediment5.site8","KI14SSYM005",NA,"sediment","KI2014","sediment","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bFSYM074","KI2015b.tag441","KI15bFSYM074","441","coral","KI2015b","Porites_lobata","30","alive","KI2015b",30,"441","","JM","2/6/2016","78.904","45.513","2309.677","n","y","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","VeryHigh"
"KI15bSSYM017","KI2015b.sediment17.site27","KI15bSSYM017",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15bFSYM049","KI2015b.tag144","KI15bFSYM049","144","coral","KI2015b","Porites_lobata","30","gone","KI2015b",30,"144","","HD","15-09-2016","26.836","23.576","438.711","n","n","n","y","y","n","NONE","y","y","y","y","1","many small spots","","KI2015b","VeryHigh"
"KI14FSYM007","KI2014.tag7","KI14FSYM007","7","coral","KI2014","Montipora_foliosa","35","UK","KI2014",35,"7","","JL","20-01-2016","59.009","41.408","1407.356","n","n","n","y","y","y","Halimeda, Caulerpa","n","y","y","y","1","a few small bleach spots <5cm, lecahing around the edges of algae patches ","","KI2014","HighMed"
"KI15bSSYM015","KI2015b.sediment15.site27","KI15bSSYM015",NA,"sediment","KI2015b","sediment","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aSSYM011","KI2015a_Post.sediment11.site35","KI15aSSYM011",NA,"sediment","KI2015a_Post","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM006","KI2015b.sediment6.site35","KI15bSSYM006",NA,"sediment","KI2015b","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aSSYM010","KI2015a_Post.sediment10.site35","KI15aSSYM010",NA,"sediment","KI2015a_Post","sediment","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bSSYM010","KI2015b.sediment10.site30","KI15bSSYM010",NA,"sediment","KI2015b","sediment","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aFSYM129","KI2015a_Post.tag133","KI15aFSYM129","133","coral","KI2015a_Post","Montipora_foliosa","30","gone","KI2015a",30,"133","_Post","JL","24-03-2016","35.953","19.547","468.871","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
