"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season.1","site.1","coral_tag.1","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Dist"
"KI15aFSYM084","KI2015a_Post.tag3","KI15aFSYM084","3","coral","KI2015a_Post","Pocillopora_eydouxi","35","UK","KI2015a",35,"3","_Post","JL","22-03-2016","22.279","13.035","211.213","n","n","n","y","y","n","NONE","y","y","n","n","NONE ","","","KI2015a_Post","HighMed"
"KI15aFSYM089","KI2015a_Post.tag13","KI15aFSYM089","13","coral","KI2015a_Post","Pocillopora_eydouxi","35","dead","KI2015a",35,"13","_Post","HD","2/8/2016","27.906","23.932","404.714","n","n","n","y","y","n","NONE","y","y","y","n","NONE","some branches broken off at the top","","KI2015a_Post","HighMed"
"KI15aFSYM090","KI2015a_Post.tag634","KI15aFSYM090","634","coral","KI2015a_Post","Montipora_foliosa","35","dead","KI2015a",35,"634","_Post","JL","24-03-2016","34.031","21.103","378.844","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM091","KI2015a_Post.tag12_635","KI15aFSYM091","12_635","coral","KI2015a_Post","Porites_lobata","35","gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15aFSYM095","KI2015a_Post.tag88","KI15aFSYM095","88","coral","KI2015a_Post","Pocillopora_eydouxi","35","dead","KI2015a",35,"88","_Post","JL","22-03-2016","33.144","32.892","457.391","n","n","n","y","y","n","NONE","y","y","n","y","1","two branch tips are bleaching <5cm","","KI2015a_Post","HighMed"
"KI15aFSYM099","KI2015a_Post.tag92_860","KI15aFSYM099","92_860","coral","KI2015a_Post","Pocillopora_eydouxi","35","gone","KI2015a",35,"92_860","_Post","JL","22-03-2016","18.27","15.014","153.462","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM100","KI2015a_Post.tag97","KI15aFSYM100","97","coral","KI2015a_Post","Porites_lobata","35","UK","KI2015a",35,"97","_Post","JL","22-03-2016","82.259","63.429","3496.349","n","n","n","y","y","n","NONE","y","y","y","y","1","several severe patches <5cm, some around algal patches","","KI2015a_Post","HighMed"
"KI15aFSYM102","KI2015a_Post.tag98","KI15aFSYM102","98","coral","KI2015a_Post","Montipora_foliosa","35","dead","KI2015a",35,"98","_Post","JL","22-03-2016","50.459","30.516","1095.032","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM106","KI2015a_Post.tag102","KI15aFSYM106","102","coral","KI2015a_Post","Montipora_foliosa","35","dead","KI2015a",35,"102","_Post","JL","23-03-2016","43.859","24.134","644.218","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM108","KI2015a_Post.tag105","KI15aFSYM108","105","coral","KI2015a_Post","Montipora_foliosa","35","dead","KI2015a",35,"105","_Post","HD","23-03-2016","57.009","51.898","1761.118","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM109","KI2015a_Post.tag107","KI15aFSYM109","107","coral","KI2015a_Post","Porites_lobata","35","UK","KI2015a",35,"107","_Post","HD","23-03-2016","56.463","44.309","1664.157","n","y","n","y","y","n","NONE","y","y","y","y","1","a few small spots","","KI2015a_Post","HighMed"
"KI15aFSYM111","KI2015a_Post.tag50","KI15aFSYM111","50","coral","KI2015a_Post","Pocillopora_eydouxi","8","UK","KI2015a",8,"50","_Post","HD","23-03-2016","31.527","18.123","412.869","n","n","n","y","y","n","NONE","y","y","y","n","NONE","majority of branches broken off","","KI2015a_Post","HighMed"
"KI15aFSYM114","KI2015a_Post.tag60","KI15aFSYM114","60","coral","KI2015a_Post","Montipora_foliosa","8","dead","KI2015a",8,"60","_Post","JL","23-03-2016","28.859","24.893","511.233","n","n","n","y","y","n","NONE","y","y","y","n","NONE ","","","KI2015a_Post","HighMed"
"KI15aFSYM117","KI2015a_Post.tag63","KI15aFSYM117","63","coral","KI2015a_Post","Porites_lobata","8","alive","KI2015a",8,"63","_Post","HD","23-03-2016","84.526","57.112","2904.72","n","n","y","y","y","n","NONE","n","y","y","n","NONE","","","KI2015a_Post","HighMed"
"KI15aFSYM120","KI2015a_Post.tag76","KI15aFSYM120","76","coral","KI2015a_Post","Montipora_foliosa","8","dead","KI2015a",8,"76","_Post","HD","23-03-2016","26.688","22.167","328.068","n","n","n","y","y","y","Halimeda","y","y","y","y","1","a few small spots","","KI2015a_Post","HighMed"
"KI15aFSYM121","KI2015a_Post.tag84","KI15aFSYM121","84","coral","KI2015a_Post","Pocillopora_eydouxi","8","dead","KI2015a",8,"84","_Post","JL","23-03-2016","30.081","21.815","283.738","n","n","n","y","y","y","Halimeda","n","y","y","n","NONE ","","","KI2015a_Post","HighMed"
"KI15aFSYM127","KI2015a_Post.tag129","KI15aFSYM127","129","coral","KI2015a_Post","Pocillopora_eydouxi","30","alive","KI2015a",30,"129","_Post","JL","22-03-2016","28.828","19.128","364.024","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM128","KI2015a_Post.tag132","KI15aFSYM128","132","coral","KI2015a_Post","Pocillopora_eydouxi","30","dead","KI2015a",30,"132","_Post","JL","24-03-2016","42.592","37.62","1064.351","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM130","KI2015a_Post.tag134","KI15aFSYM130","134","coral","KI2015a_Post","Montipora_foliosa","30","gone","KI2015a",30,"134","_Post","JL","4/4/2016","33.539","35.181","741.294","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM133","KI2015a_Post.tag137","KI15aFSYM133","137","coral","KI2015a_Post","Montipora_foliosa","30","gone","KI2015a",30,"137","_Post","JL","22-03-2016","46.521","34.787","1155.288","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM135","KI2015a_Post.tag140","KI15aFSYM135","140","coral","KI2015a_Post","Porites_lobata","30","UK","KI2015a",30,"140","_Post","DL","23-03-2016","21.201","19.596","351.507","n","n","n","y","y","n","NONE","y","y","n","y","1","a few bleached areas ","","KI2015a_Post","VeryHigh"
"KI15aFSYM140","KI2015a_Post.tag149","KI15aFSYM140","149","coral","KI2015a_Post","Pocillopora_eydouxi","30","dead","KI2015a",30,"149","_Post","JL","4/4/2016","34.117","30.304","691.767","n","n","n","y","y","n","NONE","n","y","y","n","NONE","5cm scale was used ","","KI2015a_Post","VeryHigh"
"KI15aFSYM143","KI2015a_Post.tag151","KI15aFSYM143","151","coral","KI2015a_Post","Porites_lobata","30","alive","KI2015a",30,"151","_Post","JL","23-03-2016","35.842","32.542","822.735","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM144","KI2015a_Post.tag385","KI15aFSYM144","385","coral","KI2015a_Post","Montipora_foliosa","30","dead","KI2015a",30,"385","_Post","JL","22-03-2016","29.712","18.03","409.416","n","n","n","y","y","n","NONE","y","n","n","n ","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM147","KI2015a_Post.tag474","KI15aFSYM147","474","coral","KI2015a_Post","Porites_lobata","27","gone","KI2015a",27,"474","_Post","JL","22-03-2016","9.971","8.892","67.79","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM148","KI2015a_Post.tag476","KI15aFSYM148","476","coral","KI2015a_Post","Porites_lobata","27","gone","KI2015a",27,"476","_Post","JL","22-03-2016","15.235","11.389","124.952","n","n","n","y","y","n","NONE","y","y","n","y","1","many small bleached patches starting to bleach but not severely bleached ","","KI2015a_Post","VeryHigh"
"KI15aFSYM149","KI2015a_Post.tag477","KI15aFSYM149","477","coral","KI2015a_Post","Pocillopora_eydouxi","27","dead","KI2015a",27,"477","_Post","JL","22-03-2016","18.59","17.682","229.107","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM155","KI2015a_Post.tag467","KI15aFSYM155","467","coral","KI2015a_Post","Porites_lobata","27","UK","KI2015a",27,"467","_Post","JL","22-03-2016","10.097","8.672","64.806","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM157","KI2015a_Post.tag448","KI15aFSYM157","448","coral","KI2015a_Post","Montipora_foliosa","27","UK","KI2015a",27,"448","_Post","HD","2/8/2016","23.728","12.569","217.451","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM158","KI2015a_Post.tag451_871","KI15aFSYM158","451_871","coral","KI2015a_Post","Porites_lobata","27","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VeryHigh"
"KI15aFSYM161","KI2015a_Post.tag453","KI15aFSYM161","453","coral","KI2015a_Post","Porites_lobata","27","UK","KI2015a",27,"453","_Post","JL","24-03-2016","21.621","14.116","141.242","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015a_Post","VeryHigh"
"KI15aFSYM165","KI2015a_Post.tag41","KI15aFSYM165","41","coral","KI2015a_Post","Montipora_foliosa","27","UK","KI2015a",27,"41","_Post","JL","24-03-2016","22.857","15.765","242.134","n","n","n","y","y","n","NONE","n","y","n","n","NONE ","","","KI2015a_Post","VeryHigh"
"KI15bFSYM004","KI2015b.tag2_572","KI15bFSYM004","2_572","coral","KI2015b","Montipora_foliosa","35","gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
"KI15bFSYM005","KI2015b.tag5","KI15bFSYM005","5","coral","KI2015b","Porites_lobata","35","alive","KI2015b",35,"5","","HD","5/8/2016","52.689","40.139","1460.961","n","n","n","y","y","y","Caulerpa","n","y","y","n","NONE","","","KI2015b","HighMed"
"KI15bFSYM009","KI2015b.tag634","KI15bFSYM009","634","coral","KI2015b","Montipora_foliosa","35","dead","KI2015b",35,"634","","HD","5/8/2016","23.024","16.4","299.536","n","n","n","y","y","y","Halimeda","n","y","y","y","1","a few small patches","","KI2015b","HighMed"
"KI15bFSYM010","KI2015b.tag12_635","KI15bFSYM010","12_635","coral","KI2015b","Porites_lobata","35","gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HighMed"
