"","ASV288","ASV290","ASV432","ASV434","ASV449","ASV509","ASV695","ASV773","ASV791","ASV866","ASV886","ASV906","ASV931","ASV939","ASV1059","ASV1181","ASV1271","ASV1304","ASV1306","ASV1357","ASV1512","ASV1522","ASV1635","ASV1688","ASV1722","ASV1725","ASV1999","ASV2146","ASV2362","ASV3040","ASV3093","ASV3387","ASV3406","ASV3424","ASV3685","ASV3907","ASV3963","ASV4052","ASV4174","ASV4289","ASV4893","ASV4999","ASV5079","ASV5129","ASV5418","ASV5650","ASV5942","ASV6177","ASV6183","ASV6523","ASV6763","ASV6848","ASV7532","ASV7618","ASV7627","ASV7641","ASV7793","ASV7915","ASV8113","ASV8529","ASV8876","ASV9059","ASV9460","ASV9465","ASV9471","ASV9865","ASV9887","ASV10121","ASV10152","ASV10349","ASV10580","ASV10631","ASV10907","ASV10959","ASV11203","ASV11549","ASV11560","ASV11726","ASV11856","ASV12527","ASV13176"
"ASV5418",0.237547892720307,0.263358778625954,0.292134831460674,0.289473684210526,0.246212121212121,0.303370786516854,0.263358778625954,0.212121212121212,0.295880149812734,0.30188679245283,0.100371747211896,0.30188679245283,0.247148288973384,0.242424242424242,0.0260223048327138,0.299625468164794,0.221374045801527,0.293233082706767,0.245283018867925,0.0260223048327138,0.243346007604563,0.229007633587786,0.234615384615385,0.237547892720307,0.250936329588015,0.240458015267176,0.242307692307692,0.299625468164794,0.230188679245283,0.236641221374046,0.264150943396226,0.305660377358491,0.0297397769516729,0.208333333333333,0.221374045801527,0.208333333333333,0.244360902255639,0.233716475095785,0.225190839694656,0.241379310344828,0.246212121212121,0.212121212121212,0.294339622641509,0.242307692307692,0,0.256603773584906,0.25,0.242307692307692,0.033457249070632,0.234615384615385,0.00740740740740741,0.238461538461538,0.225563909774436,0.206766917293233,0.249056603773585,0.223484848484848,0.292134831460674,0.309433962264151,0.259541984732824,0.229007633587786,0.295880149812734,0.241379310344828,0.104089219330855,0.104089219330855,0.242424242424242,0.281954887218045,0.25,0.104089219330855,0.216216216216216,0.278625954198473,0.229007633587786,0.249056603773585,0.250950570342205,0.226053639846743,0.24812030075188,0.152416356877323,0.212121212121212,0.245210727969349,0.239700374531835,0.25187969924812,0.208333333333333
"ASV5650",0.184905660377358,0.176029962546816,0.273408239700375,0.270676691729323,0.128676470588235,0.289473684210526,0.179775280898876,0.202247191011236,0.280898876404494,0.286792452830189,0.260377358490566,0.286792452830189,0.136531365313653,0.128676470588235,0.260377358490566,0.262172284644195,0.199248120300752,0.281954887218045,0.021978021978022,0.260377358490566,0.140221402214022,0.199248120300752,0.178030303030303,0.181132075471698,0.214814814814815,0.206766917293233,0.185606060606061,0.288389513108614,0.0402930402930403,0.206766917293233,0.241509433962264,0.286792452830189,0.264150943396226,0.202247191011236,0.199248120300752,0.198501872659176,0.250936329588015,0.173584905660377,0.203007518796992,0.181132075471698,0.128676470588235,0.216417910447761,0.294339622641509,0.189393939393939,0.256603773584906,0,0.132352941176471,0.164179104477612,0.249056603773585,0.178030303030303,0.264150943396226,0.181818181818182,0.141263940520446,0.177777777777778,0.0256410256410256,0.217228464419476,0.273408239700375,0.294339622641509,0.176029962546816,0.203007518796992,0.262172284644195,0.188679245283019,0.264150943396226,0.264150943396226,0.128676470588235,0.262172284644195,0.227941176470588,0.264150943396226,0.193916349809886,0.200757575757576,0.203007518796992,0.0256410256410256,0.140221402214022,0.19622641509434,0.250936329588015,0.278195488721804,0.202247191011236,0.192452830188679,0.214814814814815,0.222222222222222,0.216417910447761
"ASV5942",0.177358490566038,0.134831460674157,0.265917602996255,0.278195488721804,0.00366300366300366,0.285714285714286,0.134831460674157,0.191011235955056,0.284644194756554,0.267924528301887,0.25,0.267924528301887,0.0698529411764706,0.0183150183150183,0.253787878787879,0.262172284644195,0.172932330827068,0.274436090225564,0.117647058823529,0.257575757575758,0.0661764705882353,0.169172932330827,0.170454545454545,0.169811320754717,0.196296296296296,0.176691729323308,0.178030303030303,0.284644194756554,0.128676470588235,0.195488721804511,0.218867924528302,0.267924528301887,0.234848484848485,0.191011235955056,0.172932330827068,0.191011235955056,0.250936329588015,0.181132075471698,0.169172932330827,0.169811320754717,0.0183150183150183,0.201492537313433,0.264150943396226,0.174242424242424,0.25,0.132352941176471,0,0.0746268656716418,0.242424242424242,0.170454545454545,0.257575757575758,0.174242424242424,0.138059701492537,0.133333333333333,0.121323529411765,0.205992509363296,0.269662921348315,0.275471698113207,0.134831460674157,0.172932330827068,0.262172284644195,0.181132075471698,0.253787878787879,0.246212121212121,0.0183150183150183,0.239700374531835,0.198529411764706,0.253787878787879,0.174904942965779,0.193916349809886,0.172932330827068,0.121323529411765,0.0735294117647059,0.166037735849057,0.250936329588015,0.267924528301887,0.187265917602996,0.184905660377358,0.192592592592593,0.188888888888889,0.197761194029851
"ASV6177",0.195402298850575,0.145522388059701,0.259541984732824,0.260536398467433,0.0783582089552239,0.260536398467433,0.149253731343284,0.183206106870229,0.267175572519084,0.265384615384615,0.234615384615385,0.265384615384615,0.1,0.082089552238806,0.246153846153846,0.248091603053435,0.208333333333333,0.24904214559387,0.145522388059701,0.25,0.0962962962962963,0.204545454545455,0.196153846153846,0.195402298850575,0.207547169811321,0.215909090909091,0.203846153846154,0.263358778625954,0.145522388059701,0.217557251908397,0.230769230769231,0.265384615384615,0.226923076923077,0.183206106870229,0.208333333333333,0.187022900763359,0.259541984732824,0.203065134099617,0.204545454545455,0.199233716475096,0.0671641791044776,0.182509505703422,0.253846153846154,0.2,0.242307692307692,0.164179104477612,0.0746268656716418,0,0.234615384615385,0.196153846153846,0.25,0.2,0.140151515151515,0.154716981132075,0.149253731343284,0.202290076335878,0.248091603053435,0.273076923076923,0.149253731343284,0.208333333333333,0.251908396946565,0.199233716475096,0.238461538461538,0.230769230769231,0.082089552238806,0.236641221374046,0.212686567164179,0.238461538461538,0.206896551724138,0.219230769230769,0.204545454545455,0.149253731343284,0.103703703703704,0.201520912547529,0.259541984732824,0.260536398467433,0.190839694656489,0.203065134099617,0.2,0.188679245283019,0.186311787072243
"ASV6183",0.241379310344828,0.263358778625954,0.288389513108614,0.285714285714286,0.238636363636364,0.303370786516854,0.263358778625954,0.204545454545455,0.295880149812734,0.305660377358491,0.0966542750929368,0.305660377358491,0.239543726235741,0.242424242424242,0.0260223048327138,0.295880149812734,0.225190839694656,0.289473684210526,0.237735849056604,0.0297397769516729,0.23574144486692,0.232824427480916,0.234615384615385,0.237547892720307,0.239700374531835,0.244274809160305,0.242307692307692,0.299625468164794,0.226415094339623,0.240458015267176,0.267924528301887,0.309433962264151,0.0371747211895911,0.200757575757576,0.225190839694656,0.196969696969697,0.24812030075188,0.233716475095785,0.229007633587786,0.241379310344828,0.238636363636364,0.204545454545455,0.286792452830189,0.242307692307692,0.033457249070632,0.249056603773585,0.242424242424242,0.234615384615385,0,0.234615384615385,0.0408921933085502,0.238461538461538,0.218045112781955,0.199248120300752,0.241509433962264,0.215909090909091,0.284644194756554,0.313207547169811,0.259541984732824,0.232824427480916,0.292134831460674,0.245210727969349,0.100371747211896,0.100371747211896,0.242424242424242,0.285714285714286,0.25,0.100371747211896,0.22007722007722,0.274809160305344,0.232824427480916,0.241509433962264,0.243346007604563,0.226053639846743,0.25187969924812,0.159851301115242,0.200757575757576,0.24904214559387,0.232209737827715,0.24812030075188,0.200757575757576
"ASV6523",0.0373134328358209,0.203846153846154,0.238636363636364,0.242424242424242,0.166666666666667,0.250950570342205,0.203846153846154,0.166666666666667,0.25,0.251908396946565,0.226923076923077,0.251908396946565,0.147727272727273,0.166666666666667,0.238461538461538,0.238636363636364,0.0559701492537313,0.228136882129278,0.170454545454545,0.242307692307692,0.151515151515152,0.0522388059701493,0.00373134328358209,0.0298507462686567,0.165413533834586,0.0634328358208955,0.0111940298507463,0.253787878787879,0.189393939393939,0.097378277153558,0.212121212121212,0.248091603053435,0.234615384615385,0.166666666666667,0.0597014925373134,0.159090909090909,0.224334600760456,0.0335820895522388,0.0485074626865672,0.0149253731343284,0.174242424242424,0.162878787878788,0.231939163498099,0.0261194029850746,0.234615384615385,0.178030303030303,0.170454545454545,0.196153846153846,0.234615384615385,0,0.242307692307692,0.00373134328358209,0.152671755725191,0.131578947368421,0.174242424242424,0.185606060606061,0.257575757575758,0.259541984732824,0.207692307692308,0.0597014925373134,0.238636363636364,0.041044776119403,0.230769230769231,0.230769230769231,0.166666666666667,0.209125475285171,0.179775280898876,0.230769230769231,0.0566037735849057,0.121212121212121,0.0597014925373134,0.174242424242424,0.151515151515152,0.048689138576779,0.228136882129278,0.238461538461538,0.162878787878788,0.0447761194029851,0.165413533834586,0.172932330827068,0.159090909090909
"ASV6763",0.245210727969349,0.270992366412214,0.292134831460674,0.289473684210526,0.253787878787879,0.303370786516854,0.270992366412214,0.21969696969697,0.295880149812734,0.30188679245283,0.107806691449814,0.30188679245283,0.254752851711027,0.25,0.033457249070632,0.299625468164794,0.229007633587786,0.293233082706767,0.252830188679245,0.033457249070632,0.250950570342205,0.236641221374046,0.242307692307692,0.245210727969349,0.258426966292135,0.248091603053435,0.25,0.299625468164794,0.237735849056604,0.244274809160305,0.271698113207547,0.305660377358491,0.0371747211895911,0.215909090909091,0.229007633587786,0.215909090909091,0.25187969924812,0.241379310344828,0.232824427480916,0.24904214559387,0.253787878787879,0.21969696969697,0.294339622641509,0.25,0.00740740740740741,0.264150943396226,0.257575757575758,0.25,0.0408921933085502,0.242307692307692,0,0.246153846153846,0.233082706766917,0.214285714285714,0.256603773584906,0.231060606060606,0.292134831460674,0.309433962264151,0.267175572519084,0.236641221374046,0.295880149812734,0.24904214559387,0.111524163568773,0.111524163568773,0.25,0.289473684210526,0.257462686567164,0.111524163568773,0.223938223938224,0.286259541984733,0.236641221374046,0.256603773584906,0.258555133079848,0.233716475095785,0.255639097744361,0.159851301115242,0.21969696969697,0.252873563218391,0.247191011235955,0.259398496240602,0.215909090909091
"ASV6848",0.041044776119403,0.207692307692308,0.242424242424242,0.246212121212121,0.170454545454545,0.254752851711027,0.207692307692308,0.170454545454545,0.253787878787879,0.255725190839695,0.230769230769231,0.255725190839695,0.151515151515152,0.170454545454545,0.242307692307692,0.242424242424242,0.0597014925373134,0.231939163498099,0.174242424242424,0.246153846153846,0.15530303030303,0.0559701492537313,0.00746268656716418,0.0335820895522388,0.169172932330827,0.0671641791044776,0.0149253731343284,0.257575757575758,0.193181818181818,0.101123595505618,0.215909090909091,0.251908396946565,0.238461538461538,0.170454545454545,0.0634328358208955,0.162878787878788,0.228136882129278,0.0373134328358209,0.0522388059701493,0.0186567164179104,0.178030303030303,0.166666666666667,0.23574144486692,0.0298507462686567,0.238461538461538,0.181818181818182,0.174242424242424,0.2,0.238461538461538,0.00373134328358209,0.246153846153846,0,0.156488549618321,0.135338345864662,0.178030303030303,0.189393939393939,0.261363636363636,0.263358778625954,0.211538461538462,0.0634328358208955,0.242424242424242,0.0447761194029851,0.234615384615385,0.234615384615385,0.170454545454545,0.212927756653992,0.183520599250936,0.234615384615385,0.060377358490566,0.125,0.0634328358208955,0.174242424242424,0.15530303030303,0.052434456928839,0.231939163498099,0.242307692307692,0.166666666666667,0.0485074626865672,0.169172932330827,0.176691729323308,0.162878787878788
"ASV7532",0.14828897338403,0.162264150943396,0.259398496240602,0.260377358490566,0.134328358208955,0.266917293233083,0.166037735849057,0.142857142857143,0.255639097744361,0.261363636363636,0.221804511278195,0.261363636363636,0.131086142322097,0.134328358208955,0.229323308270677,0.236842105263158,0.140151515151515,0.233962264150943,0.137546468401487,0.233082706766917,0.127340823970037,0.143939393939394,0.148854961832061,0.155893536121673,0.16728624535316,0.159090909090909,0.156488549618321,0.266917293233083,0.144981412639405,0.166666666666667,0.21969696969697,0.272727272727273,0.233082706766917,0.139097744360902,0.140151515151515,0.142857142857143,0.225563909774436,0.14828897338403,0.147727272727273,0.152091254752852,0.130597014925373,0.142322097378277,0.242424242424242,0.16030534351145,0.225563909774436,0.141263940520446,0.138059701492537,0.140151515151515,0.218045112781955,0.152671755725191,0.233082706766917,0.156488549618321,0,0.144981412639405,0.141263940520446,0.157894736842105,0.255639097744361,0.268939393939394,0.166037735849057,0.143939393939394,0.236842105263158,0.152091254752852,0.225563909774436,0.225563909774436,0.134328358208955,0.218045112781955,0.203703703703704,0.225563909774436,0.134099616858238,0.181132075471698,0.140151515151515,0.141263940520446,0.134831460674157,0.140684410646388,0.225563909774436,0.243445692883895,0.146616541353383,0.155893536121673,0.171003717472119,0.178438661710037,0.138576779026217
"ASV7618",0.149812734082397,0.19622641509434,0.237037037037037,0.237918215613383,0.12962962962963,0.252788104089219,0.192452830188679,0.155555555555556,0.244444444444444,0.261194029850746,0.195488721804511,0.257462686567164,0.137546468401487,0.140740740740741,0.206766917293233,0.240740740740741,0.145522388059701,0.242537313432836,0.17037037037037,0.210526315789474,0.137546468401487,0.141791044776119,0.12781954887218,0.127340823970037,0.164835164835165,0.156716417910448,0.135338345864662,0.244444444444444,0.174074074074074,0.175373134328358,0.194029850746269,0.264925373134328,0.210526315789474,0.162962962962963,0.145522388059701,0.155555555555556,0.211111111111111,0.134831460674157,0.145522388059701,0.142322097378277,0.137037037037037,0.154981549815498,0.25,0.142857142857143,0.206766917293233,0.177777777777778,0.133333333333333,0.154716981132075,0.199248120300752,0.131578947368421,0.214285714285714,0.135338345864662,0.144981412639405,0,0.174074074074074,0.181481481481481,0.240740740740741,0.264925373134328,0.2,0.141791044776119,0.240740740740741,0.153558052434457,0.199248120300752,0.199248120300752,0.140740740740741,0.214814814814815,0.153846153846154,0.199248120300752,0.147169811320755,0.184905660377358,0.149253731343284,0.174074074074074,0.141263940520446,0.138576779026217,0.214814814814815,0.232209737827715,0.159259259259259,0.157303370786517,0.153846153846154,0.153846153846154,0.151291512915129
