Kingdom Phylum Class Order Family Genus Species
ASV99 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV100 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV101 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV102 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV103 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV104 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV105 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV106 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV107 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV108 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV109 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV110 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV111 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV112 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV113 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV114 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV115 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV116 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV117 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium s__C21.10_JF683331
ASV118 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV119 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV120 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium s__C3.14_HQ630872
ASV121 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV122 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV123 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV124 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV125 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV126 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV127 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV128 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV129 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV130 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV131 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV132 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV133 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV134 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV135 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV136 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV137 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
